feature,Neutral mass (Da),mz,Charge,rt,Chromatographic peak width (min),Identifications,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%
12.61_525.3745m/z,,525.374537076188,1,756.4429999999979,0.188633333333334,0,Infinity,3,Z,100 - 12.6,2352.88279544511,5.31
12.81_534.2849m/z,,534.284887346844,1,768.790000000002,0.120049999999999,0,Infinity,QC,Z,100 - 30.4,2246.88907897113,5.65
12.06_464.3144m/z,,464.314400440328,1,723.517000000002,0.0857333333333337,0,Infinity,3,Z,100,373.168177216524,8.60
12.08_508.3768m/z,,508.376836840823,1,724.546000000002,0.205783333333335,0,Infinity,3,Z,100 - 25.2,4570.58022325652,3.33
12.09_506.3614m/z,,506.361416870356,1,725.575000000002,0.102883333333335,0,Infinity,3,Z,100,406.881152854041,7.63
12.92_311.1628m/z,,311.162840341028,2,774.964000000002,0.200083333333334,0,Infinity,3,Z,100 - 29.4 - 41.3 - 6.07,2426.70844145876,3.75
12.92_1102.6496n,1102.64960734839,1147.66159700634,1,774.964000000002,0.148633333333335,0,Infinity,3,Z,100 - 60.3 - 29.2 - 5.65,4963.59096173218,4.89
12.92_814.0151m/z,,814.01505721628,2,774.964000000002,0.0857499999999991,0,Infinity,2,Z,100 - 80.8 - 72 - 17.4,1186.55927684128,15.24
12.81_489.2270m/z,,489.227038355948,1,768.790000000002,0.1029,0,Infinity,QC,Z,100 - 26.3,1324.72774871039,4.78
12.86_482.3244m/z,,482.324413668515,1,771.877000000002,0.1715,0,Infinity,2,Z,100 - 20.4,2109.39208122623,4.17
12.92_523.3648n,523.36480558806,524.37208202006,1,774.964000000002,0.388733333333333,0,Infinity,3,SV,100 - 32.6 - 7.23 - 1.09 - 0.0163,149483.436772325,4.02
11.77_1003.7121m/z,,1003.71210873472,1,706.3669999999979,0.0686,0,Infinity,3,Z,100 - 28.5,596.643347393437,17.55
11.79_482.3612m/z,,482.361186420445,1,707.395999999998,0.2058,0,Infinity,3,Z,100 - 23.7 - 0.877,6552.84552331458,2.89
11.79_480.3455m/z,,480.345548170696,1,707.395999999998,0.205783333333333,0,Infinity,3,Z,100 - 22.7,5394.07590700096,3.48
11.76_522.5335m/z,,522.533516816945,1,705.337999999998,0.0514500000000009,0,Infinity,2,Z,100,544.672578969077,13.02
11.76_290.1448m/z,,290.144801691787,1,705.337999999998,0.120050000000001,0,Infinity,2,Z,100,230.394758707199,10.44
11.77_438.2995m/z,,438.299457187631,1,706.3669999999979,0.120049999999999,0,Infinity,3,Z,100 - 5.79,858.823933687517,5.93
11.91_324.2176m/z,,324.21757678377,1,714.598999999998,0.0857333333333337,0,Infinity,4,Z,100,218.593860453607,18.59
11.96_510.3567m/z,,510.356714856674,1,717.685000000002,0.217233333333335,0,Infinity,2,Z,100 - 19,2444.59734522073,4.67
12.06_548.3721m/z,,548.372114936573,1,723.517000000002,0.102883333333333,0,Infinity,3,Z,100 - 23.7,1302.59551812997,5.95
11.79_303.2327m/z,,303.232703801975,1,707.395999999998,0.120049999999999,0,Infinity,3,Z,100 - 11.5,1008.39213725098,5.66
11.79_1001.6944m/z,,1001.69441245798,1,707.395999999998,0.0857500000000009,0,Infinity,2,Z,100 - 32.7,602.901347014351,11.48
11.82_572.3726m/z,,572.372638428196,1,709.453999999998,0.0857499999999991,0,Infinity,3,Z,100 - 15.5,552.15541234288,6.08
13.37_510.3916m/z,,510.391583460109,1,802.402999999998,0.154349999999999,0,Infinity,3,Z,100 - 10.8,1302.21361698541,5.72
14.05_269.2261m/z,,269.226077565554,1,843.2189999999999,0.0685833333333328,0,Infinity,2,Z,100,146.448501995238,11.77
14.16_270.2791m/z,,270.279138712722,1,849.391999999998,0.0686,0,Infinity,Z,B,100,661.038842019524,8.47
13.32_508.3756m/z,,508.375638472058,1,799.315999999998,0.1029,0,Infinity,3,Z,100 - 1.82,441.618499553222,12.66
13.36_331.1898m/z,,331.18981446803,1,801.373999999998,0.1715,0,Infinity,3,Z,100 - 16.1,2615.13452820631,4.47
13.36_376.2478m/z,,376.247821530521,1,801.373999999998,0.1715,0,Infinity,3,Z,100 - 16.8,1834.0832951277,6.05
14.45_359.2446m/z,,359.244644984888,2,866.884000000002,0.137183333333333,0,Infinity,QC,Z,100 - 18.4 - 22.9,661.818404704998,7.38
14.45_714.6062m/z,,714.60624676278,1,866.884000000002,0.137183333333333,0,Infinity,QC,Z,100 - 15.7,692.974567230265,4.86
14.45_689.5228m/z,,689.522758857917,2,866.884000000002,0.0857333333333337,0,Infinity,QC,Z,100 - 79.3 - 70 - 26.2,1434.29990859855,5.91
14.35_337.1672m/z,,337.167218431481,1,860.710999999998,0.1029,0,Infinity,SCQC,Z,100,591.68300332678,3.80
14.45_330.2773n,330.277273355677,313.273985105677,1,866.884000000002,0.205783333333333,0,Infinity,QC,Z,100 - 13.4,3398.32170212584,5.36
14.45_524.3840m/z,,524.384041191909,2,866.884000000002,0.120033333333334,0,Infinity,QC,Z,100 - 51.4 - 47.8 - 11,1419.1800315386,6.02
12.97_302.3054m/z,,302.305429218984,1,778.051000000002,0.680249999999999,0,Infinity,QC,SV,100 - 15.5,7253.44385927984,4.80
12.97_606.2870m/z,,606.28695325063,1,778.051000000002,0.165783333333334,0,Infinity,SCQC,Z,100,502.741991472058,6.70
13.12_530.3477m/z,,530.347711004452,1,786.9689999999999,0.1029,0,Infinity,QC,Z,100 - 16,517.606785629136,11.97
12.92_1075.6980m/z,,1075.69799992753,2,774.964000000002,0.0857499999999991,0,Infinity,2,Z,76.5 - 100 - 91.4 - 43.6 - 6.45,1346.06161534447,25.61
12.92_524.5486m/z,,524.548644344334,1,774.964000000002,0.0857500000000009,0,Infinity,2,Z,100,1742.17487479733,3.19
12.92_340.2857m/z,,340.285651579236,1,774.964000000002,0.0857499999999991,0,Infinity,3,Z,100,287.204665043681,10.45
13.20_408.2297m/z,,408.229675864102,1,792.114,0.188633333333332,0,Infinity,3,Z,100 - 18.7,3242.66512376293,7.91
13.20_363.1717m/z,,363.171694000488,1,792.114,0.102883333333333,0,Infinity,3,Z,100,465.276371094259,6.48
13.30_466.3290m/z,,466.328994624967,1,798.286999999998,0.154333333333332,0,Infinity,3,Z,100 - 8.98,1037.29544846348,7.61
13.12_485.2897m/z,,485.289746260776,1,786.9689999999999,0.0686,0,Infinity,QC,Z,100,328.582898820434,5.03
13.13_550.3870m/z,,550.386972728016,1,787.998,0.1029,0,Infinity,3,Z,100 - 19.2,887.818735809233,3.36
13.20_251.0467m/z,,251.046699815761,1,792.114,0.240083333333333,0,Infinity,3,SV,100 - 10.3,5078.53974875701,4.97
0.96_384.9160m/z,,384.916018106267,1,57.78100000000002,0.08575,0,Infinity,SCQC,Z,100,405.552171142821,7.19
0.96_419.8201n,419.820103714685,420.827380146685,1,57.78100000000002,0.0971833333333334,0,Infinity,4,Z,100,672.74352544218,3.50
0.96_239.9102n,239.91015917745,222.90687092745,1,57.78100000000002,0.131483333333333,0,Infinity,4,Z,100,605.875529808692,5.72
0.96_246.9514m/z,,246.951357215008,1,57.78100000000002,0.131483333333333,0,Infinity,SCQC,Z,100,749.346566555668,2.99
0.96_220.9099m/z,,220.909907834561,1,57.78100000000002,0.148633333333333,0,Infinity,4,Z,100,650.588353580088,2.24
